idCuando	idQue	idDonde	unidades	clientes
1	1	15	58	38
1	2	10	85	48
1	3	7	83	77
1	4	12	37	35
1	5	19	56	45
1	6	16	83	62
1	7	20	35	27
1	8	8	12	8
1	9	10	89	59
1	10	17	34	18
1	11	7	24	12
1	12	8	97	89
1	13	8	78	56
1	14	2	78	69
1	15	19	92	56
1	16	13	81	43
1	17	10	63	46
1	18	2	63	43
1	19	6	43	26
1	20	10	30	23
1	21	7	44	22
1	22	12	69	57
1	23	20	2	1
1	24	11	64	48
1	25	17	19	18
1	26	14	56	52
1	27	18	88	76
1	28	5	46	31
1	29	11	76	65
1	30	14	50	26
1	31	8	94	57
1	32	9	94	74
1	33	7	96	60
1	34	8	48	35
1	35	19	75	52
1	36	6	45	31
1	37	17	25	21
1	38	17	71	61
1	39	1	74	58
1	40	7	77	57
1	41	17	86	74
1	42	20	72	61
1	43	1	1	1
1	44	13	31	28
1	45	2	89	51
1	46	12	55	37
1	47	13	80	54
1	48	8	72	55
1	49	12	98	89
1	50	10	1	1
1	51	1	69	64
1	52	12	80	42
1	53	10	56	34
1	54	8	43	32
1	55	12	11	9
1	56	8	75	73
1	57	5	66	65
1	58	15	84	79
1	59	4	17	11
1	60	15	11	9
2	1	16	76	65
2	2	20	82	51
2	3	15	39	21
2	4	9	30	20
2	5	12	48	44
2	6	6	80	69
2	7	14	79	47
2	8	20	99	96
2	9	14	59	41
2	10	9	71	39
2	11	17	13	8
2	12	17	66	47
2	13	15	30	25
2	14	8	26	21
2	15	19	30	18
2	16	15	29	19
2	17	7	24	21
2	18	11	5	5
2	19	10	75	60
2	20	12	9	6
2	21	10	96	60
2	22	6	40	27
2	23	15	19	11
2	24	16	97	95
2	25	10	30	29
2	26	3	52	45
2	27	12	3	2
2	28	14	20	15
2	29	2	22	18
2	30	13	15	8
2	31	17	48	31
2	32	18	89	80
2	33	18	99	61
2	34	20	31	27
2	35	17	29	18
2	36	6	42	27
2	37	20	2	1
2	38	20	3	2
2	39	14	82	81
2	40	14	4	2
2	41	14	80	48
2	42	16	48	28
2	43	7	27	25
2	44	20	27	18
2	45	10	9	5
2	46	1	99	77
2	47	2	61	55
2	48	5	29	16
2	49	14	25	15
2	50	18	59	38
2	51	7	83	58
2	52	7	41	25
2	53	18	21	19
2	54	15	8	7
2	55	2	31	29
2	56	2	10	7
2	57	6	30	25
2	58	16	19	17
2	59	13	49	28
2	60	1	13	13
3	1	1	86	59
3	2	14	97	51
3	3	5	6	3
3	4	18	42	33
3	5	8	19	14
3	6	1	50	29
3	7	9	91	71
3	8	2	14	14
3	9	18	27	21
3	10	14	74	64
3	11	12	41	23
3	12	4	33	26
3	13	18	27	17
3	14	12	54	46
3	15	10	3	1
3	16	13	78	45
3	17	12	49	41
3	18	9	80	66
3	19	1	92	62
3	20	1	9	7
3	21	10	60	43
3	22	12	32	30
3	23	12	82	46
3	24	18	48	41
3	25	3	24	15
3	26	10	3	2
3	27	14	78	78
3	28	13	17	10
3	29	8	17	14
3	30	10	84	83
3	31	20	40	36
3	32	18	9	5
3	33	1	77	62
3	34	8	43	40
3	35	6	95	94
3	36	19	93	69
3	37	11	47	46
3	38	12	36	31
3	39	19	75	70
3	40	20	5	5
3	41	2	33	29
3	42	16	90	87
3	43	5	28	19
3	44	2	12	9
3	45	15	30	28
3	46	8	49	44
3	47	10	94	49
3	48	18	9	6
3	49	20	71	55
3	50	5	58	44
3	51	7	25	17
3	52	2	74	73
3	53	17	80	61
3	54	6	53	37
3	55	17	39	19
3	56	12	23	12
3	57	9	41	38
3	58	9	97	56
3	59	6	86	61
3	60	20	43	35
4	1	20	6	4
4	2	18	25	17
4	3	15	72	51
4	4	15	83	55
4	5	2	62	52
4	6	5	92	52
4	7	18	1	1
4	8	16	35	20
4	9	10	93	48
4	10	4	62	59
4	11	3	15	8
4	12	2	8	7
4	13	11	10	10
4	14	19	11	11
4	15	15	43	38
4	16	13	61	57
4	17	16	64	52
4	18	2	44	26
4	19	12	83	60
4	20	20	45	43
4	21	20	60	48
4	22	3	72	57
4	23	5	25	13
4	24	2	49	27
4	25	19	26	15
4	26	8	84	75
4	27	10	42	25
4	28	18	15	14
4	29	5	37	23
4	30	1	18	11
4	31	2	38	32
4	32	2	69	51
4	33	1	39	30
